year;name;boxOfficeId;won;twitter_mentions
2004;House of Flying Daggers;houseofflyingdaggers;0;4
2004;The Passion of the Christ;passionofthechrist;0;48
2004;The Phantom of the Opera;phantomoftheopera;0;73
2004;A Very Long Engagement;verylongengagement;0;1
2004;The Aviator;aviator;1;498
2004;Finding Neverland;findingneverland;0;808
2004;Ray;ray;0;2281009
2004;Troy;troy;0;19347
2004;The Aviator;aviator;0;498
2004;Million Dollar Baby;milliondollarbaby;1;1161
2004;Ray;ray;0;2281009
2004;Sideways;sideways;0;7001
2004;Vera Drake;veradrake;0;35
2004;The Aviator;aviator;1;498
2004;Collateral;collateral;0;347
2004;Finding Neverland;findingneverland;0;808
2004;Million Dollar Baby;milliondollarbaby;0;1161
2004;Ray;ray;0;2281009
2004;As It Is in Heaven;;0;1
2004;The Chorus (Les Choristes);;0;0
2004;Downfall;downfall;0;552
2004;The Sea Inside;seainside;1;4
2004;Yesterday;;0;20687
2004;The Passion of the Christ;passionofthechrist;0;48
2004;The Sea Inside;seainside;0;4
2004;The Aviator;aviator;0;498
2004;Finding Neverland;findingneverland;0;808
2004;Million Dollar Baby;milliondollarbaby;1;1161
2004;Ray;ray;0;2281009
2004;Sideways;sideways;0;7001
2004;The Incredibles;incredibles;1;7030
2004;The Polar Express;polarexpress;0;144
2004;Spider-Man 2;spiderman2;0;1318
2004;Harry Potter and the Prisoner of Azkaban;harrypotter3;0;115
2004;I, Robot;irobot;0;80
2004;Spider-Man 2;spiderman2;1;1318
2004;Before Sunset;beforesunset;0;51
2004;Finding Neverland;findingneverland;0;808
2004;Million Dollar Baby;milliondollarbaby;0;1161
2004;The Motorcycle Diaries;motorcyclediaries;0;3
2004;Sideways;sideways;1;7001
2004;The Aviator;aviator;0;498
2004;Eternal Sunshine of the Spotless Mind;eternalsunshine;1;1638
2004;Hotel Rwanda;hotelrwanda;0;630
2004;The Incredibles;incredibles;0;7030
2004;Vera Drake;veradrake;0;35
2005;Capote;capote;1;7058
2005;Hustle & Flow;;0;0
2005;Brokeback Mountain;brokebackmountain;0;2099
2005;Walk the Line;walktheline;0;120
2005;Good Night, and Good Luck.;goodnightandgoodluck;0;27
2005;Syriana;syriana;1;1561
2005;Crash;crash05;0;220560
2005;Cinderella Man;cinderellaman;0;81
2005;Brokeback Mountain;brokebackmountain;0;2099
2005;A History of Violence;historyofviolence;0;10
2005;Mrs. Henderson Presents;mrshendersonpresents;0;1
