year;name;boxOfficeId;won;twitter_mentions
2005;Cinderella Man;cinderellaman;0;106
2005;The Constant Gardener;constantgardener;0;19
2005;Crash;crash05;1;280406
2005;Munich;munich;0;165156
2005;Walk the Line;walktheline;0;338
2005;Joyeux Noël;;0;275
2005;Paradise Now;paradisenow;0;16
2005;Sophie Scholl - The Final Days;sophiescholl;0;24
2005;Tsotsi;tsotsi;1;109
2005;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;narnia;1;149
2005;Cinderella Man;cinderellaman;0;106
2005;Star Wars: Episode III Revenge of the Sith;;0;19254
2005;Brokeback Mountain;brokebackmountain;0;2176
2005;Capote;capote;0;8537
2005;Crash;crash05;1;280406
2005;Good Night, and Good Luck.;goodnightandgoodluck;0;32
2005;Munich;munich;0;165156
2005;King Kong;kingkong05;1;1131
2005;Memoirs of a Geisha;memoirsofageisha;0;21
2005;War of the Worlds;waroftheworlds;0;132
2005;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;narnia;0;149
2005;King Kong;kingkong05;1;1131
2005;War of the Worlds;waroftheworlds;0;132
2005;Brokeback Mountain;brokebackmountain;1;2176
2005;Capote;capote;0;8537
2005;The Constant Gardener;constantgardener;0;19
2005;A History of Violence;historyofviolence;0;33
2005;Munich;munich;0;165156
2005;Crash;crash05;1;280406
2005;Good Night, and Good Luck.;goodnightandgoodluck;0;32
2005;Match Point;matchpoint;0;1176
2005;The Squid and the Whale;squidandthewhale;0;30
2005;Syriana;syriana;0;1637
2006;Blood Diamond;blooddiamond;0;280
2006;Half Nelson;halfnelson;0;35
2006;Venus;venus;0;15394
2006;The Pursuit of Happyness;pursuitofhappyness;0;211
2006;The Last King of Scotland;lastkingofscotland;1;27
2006;Little Miss Sunshine;littlemisssunshine;1;1835
2006;Little Children;littlechildren;0;386
2006;Blood Diamond;blooddiamond;0;280
2006;Dreamgirls;dreamgirls;0;1676
2006;The Departed;departed;0;5473
2006;Volver;volver;0;58992
2006;Notes on a Scandal;notesonascandal;0;21
2006;The Queen;queen;1;125007
2006;The Devil Wears Prada;devilwearsprada;0;618
2006;Little Children;littlechildren;0;386
2006;Babel;babel;0;24802
2006;Notes on a Scandal;notesonascandal;0;21
2006;Little Miss Sunshine;littlemisssunshine;0;1835
2006;Dreamgirls;dreamgirls;1;1676
2006;Babel;babel;0;24802
2006;Dreamgirls;dreamgirls;0;1676
2006;The Good Shepherd;goodshepherd;0;83
